Date,Category,Net worth,Assets,Real estate,Consumer durables,Corporate equities and mutual fund shares,Pension entitlements,Private businesses,Other assets,Liabilities,Home mortgages,Consumer credit,Other liabilities
1996:Q3,Next40,34.9,36,47.9,41.9,16.1,46.5,17.9,30.9,42.7,45.9,36.8,28.1
1996:Q3,Bottom50,3.6,8.3,16.1,23.6,1.7,4.2,1.7,5.5,36.4,31,53.9,27.4
1996:Q4,Top1,28.4,25,10.3,13.6,48.4,9.5,52.7,33.7,4.7,4.6,1,21.9
1996:Q4,Next9,33.3,30.9,26.2,20.8,33.7,39.7,27.8,29.9,16.4,18.6,8.5,25
1996:Q4,Next40,34.8,36,47.9,42.1,16.3,46.5,17.8,30.9,42.8,46.3,36.8,27.3
1996:Q4,Bottom50,3.4,8.1,15.6,23.5,1.7,4.3,1.7,5.4,36,30.5,53.7,25.8
1997:Q1,Top1,28,24.7,10.4,13.5,47.9,9.5,50.5,33.2,4.9,4.6,1.2,22.4
1997:Q1,Next9,33.8,31.4,26.4,20.7,33.8,39.7,30.9,30.4,16.7,18.8,8.7,25.8
1997:Q1,Next40,34.7,35.9,47.8,42.3,16.6,46.5,16.8,31,43,46.6,36.4,27.6
1997:Q1,Bottom50,3.5,8.1,15.4,23.4,1.7,4.3,1.8,5.5,35.4,30,53.6,24.2
1997:Q2,Top1,28.3,25,10.5,13.3,48.3,9.7,50.5,32.6,4.9,4.6,1.2,22.4
1997:Q2,Next9,33.8,31.4,26.4,21.1,33.9,39.6,30.2,30.5,17,18.9,8.9,27.4
1997:Q2,Next40,34.4,35.6,47.8,42.3,16.1,46.3,17.4,31.5,43.1,46.9,36.4,27.5
1997:Q2,Bottom50,3.5,7.9,15.4,23.3,1.7,4.4,1.9,5.5,35,29.6,53.5,22.8
1997:Q3,Top1,28.4,25.1,10.4,13,48.3,9.9,49.9,32.3,4.9,4.7,1.2,22.1
1997:Q3,Next9,33.9,31.6,26.5,21.5,34,39.4,30.7,30.6,17.4,19.1,9,30.6
1997:Q3,Next40,34.2,35.4,47.5,42.4,16.1,46.3,17.5,31.7,43.1,47,36.3,25.6
1997:Q3,Bottom50,3.5,7.9,15.7,23.1,1.7,4.4,1.9,5.4,34.6,29.2,53.4,21.8
1997:Q4,Top1,28.3,25.1,10.6,13.2,48,9.8,49,32.1,4.9,4.7,1.1,22.8
1997:Q4,Next9,34.1,31.8,26.8,21.2,34.1,39.5,31.9,30.5,17.6,19.5,9.2,30.5
1997:Q4,Next40,34.1,35.4,47.4,42.6,16.3,46.4,17.1,32,43.3,47.3,36.4,26.4
1997:Q4,Bottom50,3.5,7.7,15.2,23,1.7,4.4,2,5.4,34.2,28.6,53.3,20.3
1998:Q1,Top1,28.6,25.4,10.6,13,48.3,9.8,47.8,32,5.1,4.7,1.3,22.9
