RefNo,Name,COUNTRY,REGION,Constituency/District,Year First Elected/Appointed,Out/Not Out (When First Elected),Year Out,Year Leaving Office,LGBTQ,Gender Identity,Party Affiliation,Party Ideology Family,Legislative Body,Level of Government,Position,Biography/Website,Elected/Appointed,City,State,Age,Current,Source,Race/Ethnicity
699,Iain Stewart,UK,western Europe,Milton Keynes South,2010,Out,2010,#N/A,Gay,#N/A,Conservative Party,Center Right,MP,Parliament,,https://www.iainstewart.org.uk/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
700,Mike Freer,UK,western Europe,Finchley and Golders Green,2010,Out,2010,#N/A,Gay,#N/A,Conservative Party,Center Right,MP,Parliament,,https://www.mikefreer.com/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
701,Stuart Andrew,UK,western Europe,Pudsey,2010,Out,2010,#N/A,Gay,#N/A,Conservative Party,Center Right,MP,Parliament,,https://www.stuartandrew.org.uk/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
702,Conor Burns,UK,western Europe,Bournemouth West,2010,Out,2010,#N/A,Gay,#N/A,Conservative Party,Center Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
703,Steve Reed,UK,western Europe,Croydon North,2012,Out,2012,#N/A,Gay,#N/A,Labour Party,Left,MP,Parliament,,https://www.stevereedmp.co.uk/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
704,Daniel Kawczynski,UK,western Europe,Shrewsbury and Atcham,2005,Not Out,2013,#N/A,Bisexual,#N/A,Conservative Party,Center Right,MP,Parliament,,https://www.daniel4shrewsbury.co.uk/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
705,Stephen Doughty,UK,western Europe,Cardiff South and Penarth,2012,Not Out,2015,#N/A,Gay,#N/A,Labour Party,Left,MP,Parliament,,https://stephendoughty.wales/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
706,Stuart McDonald,UK,western Europe,"Cumbernauld, Kilsyth and Kirkintilloch East",2015,Out,2015,#N/A,Gay,#N/A,Scottish National Party,Nationalist,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
707,Stewart McDonald,UK,western Europe,Glasgow South,2015,Out,2015,#N/A,Gay,#N/A,Scottish National Party,Nationalist,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
708,Martin Docherty,UK,western Europe,West Dunbartonshire,2015,Out,2015,#N/A,Gay,#N/A,Scottish National Party,Nationalist,MP,Parliament,,http://martindocherty.scot/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
709,John Nicolson,UK,western Europe,Ochil and South Perthshire; East Dunbartonshire,2015,Out,2015,#N/A,Gay,#N/A,Scottish National Party,Nationalist,MP,Parliament,,https://johnnicolson.scot/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
710,Joanna Cherry,UK,western Europe,Edinburgh South West,2015,Out,2015,#N/A,Lesbian,#N/A,Scottish National Party,Nationalist,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
711,Peter Kyle,UK,western Europe,Hove,2015,Out,2015,#N/A,Gay,#N/A,Labour Party,Left,MP,Parliament,,http://www.peterkyle.co.uk/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
712,Wes Streeting,UK,western Europe,Ilford North,2015,Out,2015,#N/A,Gay,#N/A,Labour Party,Left,MP,Parliament,,https://www.wesstreeting.org/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
713,Angela Crawley,UK,western Europe,Lanark and Hamilton East,2015,Out,2015,#N/A,Lesbian,#N/A,Scottish National Party,Nationalist,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
714,Cat Smith,UK,western Europe,Lancaster and Fleetwood,2015,Out,2015,#N/A,Bisexual,#N/A,Labour Party,Left,MP,Parliament,,https://www.catsmith.co.uk/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
715,Gerald Jones,UK,western Europe,Merthyr Tydfil and Rhymney,2015,Out,2015,#N/A,Gay,#N/A,Labour Party,Left,MP,Parliament,,https://laboursites.org/wp-signup.php?new=geraldjones.co.uk,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
716,Mhairi Black,UK,western Europe,Paisley and Renfrewshire South,2015,Out,2015,#N/A,Lesbian,#N/A,Scottish National Party,Nationalist,MP,Parliament,,https://mhairiblack.scot/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
717,Nick Gibb,UK,western Europe,Bognor Regis and Littlehampton,1997,Not Out,1997,#N/A,Gay,#N/A,Conservative Party,Center Right,MP,Parliament,,https://www.nickgibb.org.uk/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
718,David Mundell,UK,western Europe,"Dumfriesshire, Clydesdale and Tweeddale",2005,Not Out,2016,#N/A,Gay,#N/A,Conservative Party,Center Right,MP,Parliament,,https://www.davidmundell.com/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
719,Hannah Bardell,UK,western Europe,Livingston,2012,Not Out,2016,#N/A,Lesbian,#N/A,Scottish National Party,Nationalist,MP,Parliament,,http://hannahbardellmp.scot/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
720,Nia Griffith,UK,western Europe,Llanelli,2005,Not Out,2016,#N/A,lesbian,#N/A,Labour Party,Left,MP,Parliament,,https://niagriffith.org.uk/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
721,William Wragg,UK,western Europe,Hazel Grove,2015,Not Out,2016,#N/A,Gay,#N/A,Conservative Party,Center Right,MP,Parliament,,https://www.williamwragg.org.uk/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
722,Mark Menzies,UK,western Europe,Fylde,2010,Not Out,2017,#N/A,Gay,#N/A,Conservative Party,Center Right,MP,Parliament,,https://www.markmenzies.org.uk/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
723,Dan Carden,UK,western Europe,Liverpool Walton,2017,Out,2017,#N/A,Gay,#N/A,Labour Party,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
724,Luke Pollard,UK,western Europe,Plymouth Sutton & Devonport,2017,Out,2017,#N/A,Gay,#N/A,Labour Party,Left,MP,Parliament,,https://www.lukepollard.org/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
725,Lloyd Russell-Moyle,UK,western Europe,Brighton Kemptown,2017,Out,2017,#N/A,Gay,#N/A,Labour Party,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
726,Damien Moore,UK,western Europe,Southport,2017,Out,2017,#N/A,Gay,#N/A,Conservative Party,Center Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
727,Lee Rowley,UK,western Europe,North East Derbyshire,2017,Out,2017,#N/A,Gay,#N/A,Conservative Party,Center Right,MP,Parliament,,https://www.lee4ned.com/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
728,James Murray,UK,western Europe,Ealing North,2019,Out,2019,#N/A,Gay,#N/A,Labour Party,Left,MP,Parliament,,https://www.jamesmurray.org/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
729,Kate Osborne,UK,western Europe,Jarrow,2019,Out,2019,#N/A,Lesbian,#N/A,Labour Party,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
730,Stephen Morgan,UK,western Europe,Portsmouth South,2017,Not Out,2019,#N/A,Gay,#N/A,Labour Party,Left,MP,Parliament,,https://www.stephenmorgan.org.uk/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
731,Michael Fabricant,UK,western Europe,Lichfield/Mid Staffordshire,1992,Not Out,2017,#N/A,Bisexual,#N/A,Conservative Party,Center Right,MP,Parliament,,https://www.michael.fabricant.mp.co.uk/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
732,Kieran Mullan,UK,western Europe,Crewe and Nantwich,2019,Out,2019,#N/A,Gay,#N/A,Conservative Party,Center Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
733,Elliot Colburn,UK,western Europe,Carshalton and Wallington,2019,Out,2019,#N/A,Gay,#N/A,Conservative Party,Center Right,MP,Parliament,,https://www.elliotcolburn.co.uk/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
734,Chris Clarkson,UK,western Europe,Heywood and Middleton,2019,Out,2019,#N/A,Gay,#N/A,Conservative Party,Center Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
735,Antony Higginbotham,UK,western Europe,Burnley,2019,Out,2019,#N/A,Gay,#N/A,Conservative Party,Center Right,MP,Parliament,,https://www.antonyhig.co.uk/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
736,Gary Sambrook,UK,western Europe,Birmingham Northfield,2019,Out,2019,#N/A,Gay,#N/A,Conservative Party,Center Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
737,Mark Fletcher,UK,western Europe,Bolsover,2019,Out,2019,#N/A,Gay,#N/A,Conservative Party,Center Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
738,Paul Holmes,UK,western Europe,Eastleigh,2019,Out,2019,#N/A,Gay,#N/A,Conservative Party,Center Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
739,Peter Gibson,UK,western Europe,Darlington,2019,Out,2019,#N/A,Gay,#N/A,Conservative Party,Center Right,MP,Parliament,,https://www.petergibson.org/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
740,Jacob Young,UK,western Europe,Redcar,2019,Out,2019,#N/A,Gay,#N/A,Conservative Party,Center Right,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
741,Alyn Smith,UK,western Europe,Stirling,2019,Out,2019,#N/A,Gay,#N/A,Scottish National Party,Nationalist,MP,Parliament,,https://alynsmith.scot/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
742,Neale Hanvey,UK,western Europe,Kirkcaldy and Cowdenbeath,2019,Out,2019,#N/A,Gay,#N/A,Scottish National Party,Nationalist,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
743,Layla Moran,UK,western Europe,Oxford West and Abingdon,2019,Not Out,2017,#N/A,Pansexual,#N/A,Liberal Democratic Party,Center,MP,Parliament,,https://www.laylamoran.com/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
744,Rob Roberts,UK,western Europe,Delyn,2020,Not Out,2019,#N/A,Gay,#N/A,Conservative Party,Center Right,MP,Parliament,,https://www.rjroberts.co.uk/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
758,Charlotte Nichols,UK,western Europe,Warrington North ,2019,Not Out,2020,#N/A,Bisexual,#N/A,Labour Party,Left,MP,Parliament,,https://charlottenicholsmp.com,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
759,Olivia Blake,UK,western Europe,Sheffield Hallam,2019,Not Out,2020,#N/A,Bisexual,#N/A,Labour Party,Left,MP,Parliament,,https://www.oliviablake.org.uk/about/,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
760,John Blair,UK,western Europe,South Antrim,2018,Out,2018,#N/A,Gay,#N/A,Alliance Party of Northern Ireland,Center,MLA,State Legislature,,#N/A,#N/A,#N/A,Northern Ireland,#N/A,#N/A,#N/A,#N/A
761,Andrew Muir,UK,western Europe,North Down,2019,Out,2019,#N/A,Gay,#N/A,Alliance Party of Northern Ireland,Center,MLA,State Legislature,,#N/A,#N/A,#N/A,Northern Ireland,#N/A,#N/A,#N/A,#N/A
767,Patrick Harvie,UK,western Europe,Glasgow,2003,Out,2003,#N/A,Bisexual,#N/A,Green Party,Green,MSP,State Legislature,,https://greens.scot/patrick-harvie-msp,#N/A,#N/A,Scotland,#N/A,#N/A,#N/A,#N/A
768,Joe FitzPatrick,UK,western Europe,Dundee City West,2007,Out,2007,#N/A,Gay,#N/A,Scottish National Party,Nationalist,MSP,State Legislature,,https://joe.fitzpatrick.scot/,#N/A,#N/A,Scotland,#N/A,#N/A,#N/A,#N/A
769,Derek Mackay,UK,western Europe,Renfrewshire North and West,2011,Out,2011,#N/A,Gay,#N/A,Scottish National Party,Nationalist,MSP,State Legislature,,#N/A,#N/A,#N/A,Scotland,#N/A,#N/A,#N/A,#N/A
770,Kevin Stewart,UK,western Europe,Aberdeen Central,2011,Out,2011,#N/A,Gay,#N/A,Scottish National Party,Nationalist,MSP,State Legislature,,#N/A,#N/A,#N/A,Scotland,#N/A,#N/A,#N/A,#N/A
771,Jeane Freeman,UK,western Europe,"Carrich, Cumnock, and Doon Valley",2016,Out,2016,#N/A,Lesbian,#N/A,Scottish National Party,Nationalist,MSP,State Legislature,,https://www.jeanefreeman.scot/,#N/A,#N/A,Scotland,#N/A,#N/A,#N/A,#N/A
772,Jenny Gilruth,UK,western Europe,Mid Fife and Glenrothes,2016,Not Out,2017,#N/A,Lesbian,#N/A,Scottish National Party,Nationalist,MSP,State Legislature,,https://www.jennygilruthmsp.scot/,#N/A,#N/A,Scotland,#N/A,#N/A,#N/A,#N/A
773,Ruth Davidson,UK,western Europe,Edinburgh Central,2011,Out,2011,#N/A,Lesbian,#N/A,Conservative Party,Center Right,MSP,State Legislature,,#N/A,#N/A,#N/A,Scotland,#N/A,#N/A,#N/A,#N/A
774,Annie Wells,UK,western Europe,Glasgow,2016,Out,2016,#N/A,Lesbian,#N/A,Conservative Party,Center Right,MSP,State Legislature,,https://www.facebook.com/AnnieWellsMSP/,#N/A,#N/A,Scotland,#N/A,#N/A,#N/A,#N/A
775,Jamie Greene,UK,western Europe,West Scotland,2016,Out,2016,#N/A,Gay,#N/A,Conservative Party,Center Right,MSP,State Legislature,,https://www.facebook.com/jamiegreeneconservative,#N/A,#N/A,Scotland,#N/A,#N/A,#N/A,#N/A
776,Kezia Dugdale,UK,western Europe,Lothian,2011,Not Out,2016,#N/A,Lesbian,#N/A,Labour Party,Left,MSP,State Legislature,,https://web.archive.org/web/20190507201828/http://www.keziadugdale.com/,#N/A,#N/A,Scotland,#N/A,#N/A,#N/A,#N/A
777,Ross Thomson,UK,western Europe,North East Scotland,2016,Out,2016,2017,Gay,#N/A,Conservative Party,Center Right,MSP,State Legislature,,https://www.rossthomson.org.uk/,#N/A,#N/A,Scotland,#N/A,#N/A,#N/A,#N/A
778,Marco Biagi,UK,western Europe,Edinburgh Central,2011,Out,2011,2016,Gay,#N/A,Scottish National Party,Nationalist,MSP,State Legislature,,#N/A,#N/A,#N/A,Scotland,#N/A,#N/A,#N/A,#N/A
779,Jim Eadie,UK,western Europe,Edinburgh South,2011,Out,2011,2016,Gay,#N/A,Scottish National Party,Nationalist,MSP,State Legislature,,#N/A,#N/A,#N/A,Scotland,#N/A,#N/A,#N/A,#N/A
780,Ian Smith,UK,western Europe,North East Fife,1999,Out,1999,2011,Gay,#N/A,Liberal Democratic Party,Center,MSP,State Legislature,,#N/A,#N/A,#N/A,Scotland,#N/A,#N/A,#N/A,#N/A
781,Margaret Smith,UK,western Europe,Edinburgh West,1999,Out,1999,2011,Lesbian,#N/A,Liberal Democratic Party,Center,MSP,State Legislature,,https://web.archive.org/web/20051025042154/http://www.margaretsmithmsp.com/,#N/A,#N/A,Scotland,#N/A,#N/A,#N/A,#N/A
1083,Ron Davies,UK,North America,Caerphilly,1999,Out,1999,2003,Bisexual,#N/A,Labour Party,Left,MLA,State Legislature,,#N/A,#N/A,#N/A,Wales,#N/A,#N/A,#N/A,#N/A
1084,Hannah Blythyn,UK,North America,Delyn,2016,Out,2016,#N/A,Lesbian,#N/A,Labour Party,Left,MLA,State Legislature,,https://www.hannahblythyn.cymru/,#N/A,#N/A,Wales,#N/A,#N/A,#N/A,#N/A
1085,Jeremy Miles,UK,North America,Neath,2016,Out,2016,#N/A,Gay,#N/A,Labour Party,Left,MLA,State Legislature,,http://www.jeremymiles.cymru/en/,#N/A,#N/A,Wales,#N/A,#N/A,#N/A,#N/A
1086,Adam Price,UK,North America,Carmarthen East and Dinefwr,2016,Out,2016,#N/A,Gay,#N/A,Plaid Cymru,Nationalist,MLA,State Legislature,,https://www.partyof.wales/coronavirus,#N/A,#N/A,Wales,#N/A,#N/A,#N/A,#N/A
1110,Paul O'Kane,UK,western Europe,#N/A,2021,Out,#N/A,#N/A,Gay,Man,Labour Party,Left,MSP,State Legislature,,#N/A,#N/A,#N/A,Scotland,#N/A,Yes,#N/A,White
1111,Owen Hurcum,UK,western Europe,#N/A,2021,Out,#N/A,#N/A,Queer,Non-Binary,Labour Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Bangor,Wales,#N/A,Yes,#N/A,White
1112,Craig Hoy,UK,western Europe,South Scotland,2021,Out,2021,#N/A,Gay,#N/A,Conservative party,Center Right,MSP,State Legislature,,#N/A,#N/A,#N/A,Scotland,#N/A,#N/A,#N/A,#N/A
1113,Paul O'Kane,UK,western Europe,West Scotland,2021,Out,2021,#N/A,Gay,Man,Labour party,Left,MSP,State Legislature,,#N/A,#N/A,#N/A,Scotland,#N/A,#N/A,#N/A,White
1114,Emma Roddick,UK,western Europe,Highlands and Islands,2021,Out,2021,#N/A,Lesbian,Woman,Scottish National Party,Nationalist,MSP,State Legislature,,#N/A,#N/A,#N/A,Scotland,#N/A,#N/A,#N/A,White
1115,Emma Best,UK,western Europe,North East,2021,Out,2021,#N/A,Lesbian,#N/A,Conservative Party,Center Right,London Assembly,Metropolitan Council,,#N/A,#N/A,#N/A,England,#N/A,#N/A,#N/A,#N/A
1116,Nicholas Rogers,UK,western Europe,South West,2021,Out,2021,#N/A,Gay,#N/A,Conservative Party,Center Right,London Assembly,Metropolitan Council,,#N/A,#N/A,#N/A,England,#N/A,#N/A,#N/A,#N/A
1117,Zack Polanski,UK,western Europe,London,2021,Out,2021,#N/A,Gay,#N/A,Green Party,Green,London Assembly,Metropolitan Council,,#N/A,#N/A,#N/A,England,#N/A,#N/A,#N/A,#N/A
1118,Lord Moylan,UK,western Europe,#N/A,2021,Out,#N/A,#N/A,Gay,#N/A,Conservative Party,Center Right,House of Lords,Parliament,,#N/A,#N/A,#N/A,England,#N/A,#N/A,#N/A,#N/A
1123,Kim Leadbeater,UK,Western Europe,Batley and Spen,2021,Out,2021,#N/A,Lesbian,#N/A,Labour Party,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,Yes,#N/A,White
252,Michelle Suarez,Uruguay,South America,#N/A,2017,#N/A,#N/A,#N/A,Transgender,Woman,Communist Party,Left,Uruguay Senate,Parliament,,#N/A,Elected,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
745,Martín Couto,Uruguay,South America,#N/A,2014,Not Out,2017,#N/A,Gay,#N/A,Broad Front,Left,MP,Parliament,,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
117,Pete Buttigieg,USA,North America,#N/A,2021,#N/A,#N/A,#N/A,Gay,#N/A,Democratic Party,Left,Cabinet Ministers,Executive,Transportation,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
253,Tammy Baldwin,USA,North America,Wisconsin,2012,#N/A,#N/A,#N/A,Lesbian,#N/A,Democratic Party,Left,USA Senate,Parliament,,https://www.baldwin.senate.gov/,Elected,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
254,Krysten Sinema,USA,North America,Arizona,2018,#N/A,#N/A,#N/A,Bisexual,#N/A,Democratic Party,Left,USA Senate,Parliament,,https://www.sinema.senate.gov/,Elected,#N/A,#N/A,#N/A,#N/A,#N/A,#N/A
255,Christopher Cabaldon,USA,North America,#N/A,1998,#N/A,#N/A,#N/A,Gay,Male,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,West Sacramento,California,54,yes,https://www.comstocksmag.com/longreads/behind-closed-doors,#N/A
256,Sean strub,USA,North America,#N/A,2016,#N/A,#N/A,#N/A,Gay,Male,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Milford,Connecticut,62,yes,https://www.poconorecord.com/story/news/local/2020/10/09/sean-strub-reflects-national-coming-out-day/5941907002/,#N/A
257,John William Heilman,USA,North America,#N/A,2017,#N/A,#N/A,#N/A,Gay,Male,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,West Hollywood,California,#N/A,yes,https://en.wikipedia.org/wiki/John_Heilman,#N/A
258,Chris Clark,USA,North America,#N/A,2014,#N/A,#N/A,#N/A,Gay,Male,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Mountain view,California,36,yes,https://mv-voice.com/news/2013/01/10/inks-named-mayor-clark-makes-vice-mayor,#N/A
259,Todd Gloria,USA,North America,#N/A,2020,#N/A,#N/A,#N/A,Gay,Male,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,San Diego,California,42,yes,https://ktla.com/news/california/todd-gloria-elected-as-san-diegos-1st-mayor-of-color-will-be-1st-democrat-to-hold-seat-since-2005/,#N/A
260,Christy Holstege,USA,North America,#N/A,2020,#N/A,#N/A,#N/A,Bisexual,Woman,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Palm Springs,California,34,yes,https://www.bustle.com/rule-breakers/christy-holstege-first-openly-bisexual-mayor,#N/A
261,Jamie Harkins,USA,North America,#N/A,2019,#N/A,#N/A,#N/A,Lesbian,Male,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Lafayette,Colorado,#N/A,yes,https://news.kgnu.org/2017/12/outsources-two-new-lesbian-city-councilors-jamie-harkins-and-jill-grano/,#N/A
262,Jennifer Ananda,USA,North America,#N/A,2018,#N/A,#N/A,#N/A,Queer,Woman,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Lawrence,Colorado,#N/A,yes,https://www2.ljworld.com/news/city-government/2019/jan/14/lisa-larsen-and-jennifer-ananda-elected-as-mayor-and-vice-mayor/,#N/A
263,Dean Trantalis,USA,North America,#N/A,2018,#N/A,#N/A,#N/A,Gay,Male,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Fort Lauderdale,Florida,66,yes,https://dallasvoice.com/fort-lauderdale-elects-first-openly-gay-mayor-landslide-10250374.html,#N/A
264,Teri Johnston,USA,North America,#N/A,2018,#N/A,#N/A,#N/A,Lesbian,Woman,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Key west,Florida,69,yes,https://www.wlrn.org/news/2018-11-06/key-west-has-a-florida-first-city-elects-openly-lesbian-mayor,#N/A
265,Julie Carson,USA,North America,#N/A,2008,#N/A,#N/A,#N/A,Lesbian,Woman,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Wilton Manors,Florida,#N/A,yes,https://victoryfund.org/candidate/julie-carson/,#N/A
266,Bill Grant,USA,North America,#N/A,2020,#N/A,#N/A,#N/A,Gay,Male,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Canton,Georgia,#N/A,yes,https://www.ajc.com/news/local/canton-new-mayor-ready-lead-rapidly-growing-suburb/CVGePDOgmiReFhEr0WbHUO/,#N/A
267,Joseph Geierman,USA,North America,#N/A,2020,#N/A,#N/A,#N/A,Gay,Male,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Doraville,Georgia,#N/A,yes,https://www.projectq.us/gay-councilmember-jumps-into-race-for-doraville-mayor/,#N/A
268,Bruce Teague,USA,North America,#N/A,2020,#N/A,#N/A,#N/A,Gay,Male,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Iowa City,Iowa,34,yes,https://www.thegazette.com/subject/news/government/bruce-teague-mazahir-salih-become-iowa-citys-mayor-mayor-pro-tem-20200102,#N/A
269,Brian Sager,USA,North America,#N/A,2005,#N/A,#N/A,#N/A,Gay,Male,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Woodstock,Illinois,#N/A,yes,http://mchenrycountyblog.com/2020/02/28/brian-sager-sends-first-mailing-in-effort-to-secure-democratic-party-nomination-for-state-rep/,#N/A
270,Cindy Smith,USA,North America,#N/A,2018,#N/A,#N/A,#N/A,Lesbian,Woman,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Linn valley,Kansas,#N/A,yes,https://www.lgbtqnation.com/2018/11/tried-keep-lesbians-off-state-property-just-elected-senator/,#N/A
271,Jeffrey Slavin,USA,North America,#N/A,2008,#N/A,#N/A,#N/A,Gay,Male,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Somerset,Maryland,#N/A,yes,https://nationaldmo.org/about/board-of-directors/jeffrey-slavin/,#N/A
272,Alex Morse,USA,North America,#N/A,2012,#N/A,#N/A,#N/A,Gay,Male,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Holyoke,Massachusetts,31,yes,https://en.wikipedia.org/wiki/McClatchy,#N/A
283,Betsy Driver,USA,North America,#N/A,2019,#N/A,#N/A,#N/A,Intersex,Woman,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Flemington Borough,New Jersey,61,yes,https://outinjersey.net/mayor-betsy-driver-is-driving-awareness-of-the-i-in-lgbtqi/,#N/A
284,Daniel Corona,USA,North America,#N/A,2016,#N/A,#N/A,#N/A,Gay,Male,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,West Wendover,Nevada,#N/A,yes,https://www.reviewjournal.com/news/politics-and-government/nevada/nevadas-first-gay-mayors-have-deep-roots-in-silver-state-1900165/,#N/A
285,Eddie Sundquist,USA,North America,#N/A,2020,#N/A,#N/A,#N/A,Gay,Male,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Jamestown,New York,#N/A,yes,http://www.newnownext.com/lucille-balls-hometown-just-elected-a-gay-mayor/11/2019/,#N/A
287,Glenn Wascovich,USA,North America,#N/A,2018,#N/A,#N/A,#N/A,Gay,Male,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Hallam,Pennsylvania,39,yes,https://www.metroweekly.com/2020/07/pennsylvania-mayor-condemns-transphobic-meme-attacking-transgender-secretary-of-health/,#N/A
288,Gregory Wesley-Lynch,USA,North America,#N/A,2018,#N/A,#N/A,#N/A,Gay,Male,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,West Conshohocken,Pennsylvania,#N/A,yes,http://northpennnow.com/amidst-a-stream-of-racism-and-death-threats-bridgeport-mayor-finds-ally-in-p542-103.htm,#N/A
289,Mark Barbee,USA,North America,#N/A,2018,#N/A,#N/A,#N/A,Gay,Male,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Bridgeport,Pennsylvania,#N/A,yes,https://www.phillyvoice.com/months-first-term-bridgeports-gay-black-mayor-faces-death-threats-and-racist-comments/,#N/A
290,Ron Strouse,USA,North America,#N/A,2014,#N/A,#N/A,#N/A,Gay,Male,Democratic Party,Left,#N/A,Mayor,Mayor,#N/A,#N/A,Doylestown,Pennsylvania,#N/A,yes,https://www.theintell.com/opinion/20190812/editorial-thumbs-up-for-doylestown-mayor-ron-strouse-down-for-us-navy,#N/A
